name	uci
Réti Opening: Anglo-Slav Variation, London Defensive System	c2c4 g8f6 g2g3 c7c6 g1f3 d7d5 b2b3 c8f5
Réti Opening: Anglo-Slav Variation, New York System	g1f3 g8f6 c2c4 c7c6 b2b3 d7d5 c1b2 c8f5
Réti Opening: Anglo-Slav Variation, Torre System	c2c4 g8f6 g2g3 c7c6 g1f3 d7d5 b2b3 c8g4
English Opening: Agincourt Defense	c2c4 e7e6
English Opening: Agincourt Defense	c2c4 e7e6 g1f3
English Opening: Agincourt Defense	c2c4 e7e6 g1f3 d7d5
English Opening: Agincourt Defense, Bogoljubov Defense	g1f3 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 f8d6
English Opening: Agincourt Defense, Catalan Defense	g1f3 d7d5 c2c4 e7e6 g2g3 b7b6 f1g2 c8b7 e1g1
English Opening: Agincourt Defense, Catalan Defense	g1f3 d7d5 c2c4 e7e6 g2g3 c7c5
English Opening: Agincourt Defense, Catalan Defense Accepted	g1f3 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 d5c4
English Opening: Agincourt Defense, Catalan Defense, Semi-Slav Defense	g1f3 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 c7c6
English Opening: Agincourt Defense, Kurajica Defense	g1f3 d7d5 c2c4 e7e6 g2g3 c7c6
English Opening: Agincourt Defense, Tarrasch Defense	g1f3 g8f6 c2c4 e7e6 g2g3 d7d5 b2b3 c7c5 f1g2 b8c6 e1g1 f8e7
English Opening: Agincourt Defense, Wimpy System	g1f3 g8f6 c2c4 e7e6 b2b3 d7d5 c1b2 c7c5 e2e3
English Opening: Neo-Catalan	g1f3 g8f6 c2c4 e7e6 g2g3 d7d5
English Opening: Neo-Catalan Declined	g1f3 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 f8e7
English Opening: Romanishin Gambit	g1f3 g8f6 c2c4 e7e6 g2g3 a7a6 f1g2 b7b5
English Opening: Agincourt Defense, Keres Defense	c2c4 c7c5 g1f3 g8f6 b1c3 e7e6 g2g3 d7d5 c4d5 f6d5 f1g2 b8c6 e1g1 f8e7
English Opening: Agincourt Defense, Neo-Catalan Declined	g1f3 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 f8e7 e1g1
Réti Opening: Anglo-Slav Variation, Bogoljubov Variation, Stonewall Line	g1f3 d7d5 c2c4 e7e6 g2g3 g8f6 f1g2 f8e7 e1g1 e8g8 b2b3 c7c6 c1b2
English Opening: Anglo-Indian Defense	c2c4 g8f6
English Opening: Anglo-Indian Defense, Anti-Anti-Grünfeld	g1f3 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4
English Opening: Anglo-Indian Defense, Grünfeld Formation	c2c4 g8f6 g1f3 g7g6 g2g3 d7d5
English Opening: Anglo-Indian Defense, King's Indian Formation	g1f3 g8f6 c2c4 g7g6
English Opening: Anglo-Indian Defense, King's Indian Formation, Double Fianchetto	g1f3 g8f6 c2c4 b7b6 g2g3 c8b7 f1g2 g7g6
English Opening: Anglo-Indian Defense, King's Knight Variation	g1f3 g8f6 c2c4
English Opening: Anglo-Indian Defense, Old Indian Formation	g1f3 g8f6 c2c4 d7d6
English Opening: Anglo-Indian Defense, Queen's Indian Formation	g1f3 g8f6 c2c4 b7b6
English Opening: Anglo-Indian Defense, Queen's Indian Formation	g1f3 g8f6 c2c4 e7e6 g2g3 b7b6 f1g2 c8b7
English Opening: Anglo-Indian Defense, Romanishin Variation	g1f3 g8f6 c2c4 e7e6 g2g3 a7a6
English Opening: Anglo-Indian Defense, Scandinavian Defense	g1f3 g8f6 c2c4 d7d5
English Opening: Anglo-Indian Defense, Scandinavian Defense, Exchange Variation	g1f3 g8f6 c2c4 d7d5 c4d5 f6d5
English Opening: Anglo-Indian Defense, Slav Formation	g1f3 g8f6 c2c4 g7g6 g2g3 c7c6
English Orangutan	c2c4 g8f6 b2b4
English Opening: Anglo-Grünfeld Defense	c2c4 g8f6 b1c3 d7d5
English Opening: Anglo-Grünfeld Defense, Korchnoi Variation	g1f3 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 g2g3 f8g7 f1g2 e7e5
English Opening: Anglo-Indian Defense, Anglo-Grünfeld Variation	c2c4 g8f6 b1c3 d7d5 c4d5 f6d5 g1f3
English Opening: Anglo-Indian Defense, Anglo-Grünfeld Variation	c2c4 g8f6 b1c3 d7d5 c4d5 f6d5 g2g3 g7g6 f1g2 d5b6
English Opening: Anglo-Indian Defense, Anglo-Grünfeld Variation	c2c4 g8f6 b1c3 d7d5 c4d5 f6d5 g2g3 g7g6 f1g2 d5c3
English Opening: Anglo-Indian Defense, Queen's Knight Variation	c2c4 g8f6 b1c3
English Opening: Anglo-Indian Defense, Hedgehog System	c2c4 g8f6 b1c3 e7e6
