name	uci
French Defense: Winawer Variation, Winckelmann-Riemer Gambit	e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 a2a3
French Defense: Winawer Variation, Advance Variation	e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5
French Defense: Winawer Variation, Petrosian Variation	e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 d8d7
French Defense: Winawer Variation, Advance Variation	e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5
French Defense: Winawer Variation, Advance Variation	e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3
French Defense: Winawer Variation, Advance Variation	e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 c5d4 a3b4 d4c3 g1f3
French Defense: Winawer Variation, Advance Variation, Moscow Variation	e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 d1g4
French Defense: Winawer Variation, Bogoljubov Variation	e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 c1d2
French Defense: Winawer Variation, Bogoljubov Variation, Icelandic Defense	e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 c1d2 g8e7 f2f4
French Defense: Winawer Variation, Maróczy-Wallis Variation	e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 c5d4 a3b4 d4c3
French Defense: Winawer Variation, Retreat Variation	e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4a5
French Defense: Winawer Variation, Retreat Variation, Armenian Line	e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4a5 b2b4 c5d4
French Defense: Winawer Variation, Advance Variation	e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4c3 b2c3
French Defense: Winawer Variation, Classical Variation	e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4c3 b2c3 d8c7
French Defense: Winawer Variation, Portisch-Hook Variation	e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4c3 b2c3 d8a5
French Defense: Winawer Variation, Advance Variation	e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4c3 b2c3 g8e7
French Defense: Winawer Variation, Advance Variation	e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4c3 b2c3 g8e7 a3a4
French Defense: Winawer Variation, Poisoned Pawn Variation	e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4c3 b2c3 g8e7 d1g4
French Defense: Winawer Variation, Poisoned Pawn Variation, Main Line	e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4c3 b2c3 g8e7 d1g4 d8c7 g4g7 h8g8 g7h7 c5d4 g1e2
French Defense: Winawer Variation, Poisoned Pawn Variation, Paoli Variation	e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4c3 b2c3 g8e7 d1g4 d8c7 g4g7 h8g8 g7h7 c5d4 e1d1
French Defense: Winawer Variation, Positional Variation	e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4c3 b2c3 g8e7 g1f3
Barnes Opening: Walkerling	f2f3 e7e5 e2e4 g8f6 f1c4
Bongcloud Attack	e2e4 e7e5 e1e2
Center Game	e2e4 e7e5 d2d4
English Opening: The Whale	e2e4 e7e5 c2c4
King's Pawn Game	e2e4 e7e5
King's Pawn Game: Alapin Opening	e2e4 e7e5 g1e2
King's Pawn Game: Bavarian Gambit	e2e4 e7e5 c2c4 d7d5
King's Pawn Game: Beyer Gambit	e2e4 e7e5 d2d4 d7d5
King's Pawn Game: Clam Variation, King's Gambit Reversed	e2e4 e7e5 d2d3 f7f5
