name	uci
Queen's Pawn Game: Levitsky Attack, Euwe Variation, Modern Line	d2d4 d7d5 g1f3 c7c6 c1g5 h7h6 g5h4 d8b6
Queen's Pawn Game: London System	d2d4 d7d5 g1f3 g8f6 c1f4
Queen's Pawn Game: London System, Pterodactyl Variation	d2d4 g7g6 g1f3 f8g7 c1f4 c7c5 c2c3 c5d4 c3d4 d8a5
Queen's Pawn Game: Symmetrical Variation	d2d4 d7d5 g1f3 g8f6
Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan	d2d4 d7d5 g1f3 g8f6 g2g3
Queen's Pawn Game: Zilbermints Countergambit	d2d4 d7d5 g1f3 g8f6 c2c4 b7b5
Queen's Pawn Game: Zukertort Variation	d2d4 d7d5 g1f3
Queen's Pawn Game: Torre Attack	d2d4 d7d5 g1f3 g8f6 c1g5
Queen's Pawn Game: Torre Attack, Gossip Variation	d2d4 d7d5 g1f3 g8f6 c1g5 f6e4
Queen's Pawn Game: Torre Attack, Grünfeld Variation	d2d4 d7d5 g1f3 g8f6 c1g5 g7g6
Queen's Pawn Game: Colle System	d2d4 d7d5 g1f3 g8f6 e2e3
Queen's Pawn Game: Colle System, Anti-Colle	d2d4 d7d5 g1f3 g8f6 e2e3 c8f5
Queen's Pawn Game: Colle System, Grünfeld Formation	d2d4 d7d5 g1f3 g8f6 e2e3 g7g6 f1d3 f8g7
Queen's Pawn Game: Colle System	d2d4 d7d5 g1f3 g8f6 e2e3 e7e6
Queen's Pawn Game: Colle System	d2d4 d7d5 g1f3 g8f6 e2e3 e7e6 f1d3
Queen's Pawn Game: Colle System, Traditional Colle	d2d4 g8f6 g1f3 e7e6 e2e3 c7c5 f1d3 d7d5 c2c3
Queen's Pawn Game: Zukertort Variation	d2d4 d7d5 g1f3 c7c5 e2e3 g8f6 b1d2 e7e6 b2b3
Rubinstein Opening	d2d4 g8f6 g1f3 e7e6 e2e3 c7c5 f1d3 d7d5 b2b3
Rubinstein Opening: Bogoljubov Defense	d2d4 g8f6 g1f3 e7e6 e2e3 c7c5 f1d3 d7d5 b2b3 b8c6 e1g1 f8d6 c1b2 e8g8
Rubinstein Opening: Classical Defense	d2d4 g8f6 g1f3 e7e6 e2e3 c7c5 f1d3 d7d5 b2b3 b8c6 e1g1 f8e7 c1b2 e8g8
Rubinstein Opening: Semi-Slav Defense	d2d4 d7d5 g1f3 g8f6 e2e3 e7e6 f1d3 f8d6 e1g1 e8g8 b2b3 b8d7 c1b2
Queen's Gambit	d2d4 d7d5 c2c4
Queen's Gambit Declined: Austrian Attack, Salvio Countergambit	d2d4 d7d5 c2c4 c7c5 d4c5 d5d4
Queen's Gambit Declined: Austrian Defense	d2d4 d7d5 c2c4 c7c5
