name	uci
Alekhine Defense: Four Pawns Attack, Fianchetto Variation	e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 f2f4 g7g6
Alekhine Defense: Four Pawns Attack, Ilyin-Zhenevsky Variation	e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 f2f4 d6e5 f4e5 b8c6 g1f3 c8g4 e5e6 f7e6 c4c5
Alekhine Defense: Four Pawns Attack, Korchnoi Variation	e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 f2f4 d6e5 f4e5 c8f5 b1c3 e7e6 g1f3 f8e7 f1e2 e8g8 e1g1 f7f6
Alekhine Defense: Four Pawns Attack, Main Line	e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 f2f4 d6e5 f4e5 b8c6 c1e3
Alekhine Defense: Four Pawns Attack, Tartakower Variation	e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 f2f4 d6e5 f4e5 b8c6 c1e3 c8f5 b1c3 e7e6 g1f3 d8d7 f1e2 e8c8 e1g1 f8e7
Alekhine Defense: Four Pawns Attack, Trifunovic Variation	e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 f2f4 c8f5
Alekhine Defense: Hunt Variation	e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 c4c5
Alekhine Defense: Modern Variation, Alekhine Gambit	e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 g1f3 c8g4 f1e2
Alekhine Defense: O'Sullivan Gambit	e2e4 g8f6 e4e5 f6d5 d2d4 b7b5
Alekhine Defense: Modern Variation	e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3
Alekhine Defense: Modern Variation, Alburt Variation	e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 g7g6
Alekhine Defense: Modern Variation, Keres Variation	e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 g7g6 f1c4 d5b6 c4b3 f8g7 a2a4
Alekhine Defense: Modern Variation, Larsen Variation	e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 d6e5
Alekhine Defense: Modern Variation, Larsen-Haakert Variation	e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 b8c6
Alekhine Defense: Modern Variation, Schmid Variation	e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 d5b6
Alekhine Defense: Modern Variation, Alekhine Variation	e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 c8g4 c2c4
Alekhine Defense: Modern Variation, Flohr Variation	e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 c8g4 f1e2 c7c6
